Seed;RMSE History;MMD History;Log-Likelihood History
550;[16.461767196655273, 13.311424255371094, 11.713922500610352, 10.753061294555664, 10.442852973937988, 10.667703628540039, 10.664363861083984, 10.684322357177734, 10.71002197265625, 10.620918273925781, 10.472847938537598, 10.323184967041016, 10.187324523925781, 9.955438613891602, 10.000219345092773, 9.897893905639648, 9.837808609008789, 9.724702835083008, 9.633515357971191, 9.524151802062988, 9.319674491882324];[1.370705246925354, 1.2708942890167236, 1.2324714660644531, 1.2613052129745483, 1.2800307273864746, 1.329224705696106, 1.328758955001831, 1.3497394323349, 1.336167573928833, 1.3443655967712402, 1.3523792028427124, 1.3449996709823608, 1.3325767517089844, 1.3158268928527832, 1.31998610496521, 1.3106194734573364, 1.3190258741378784, 1.3339990377426147, 1.3110460042953491, 1.320064902305603, 1.3088538646697998];[-72.1158676147461, -51.06401824951172, -42.098419189453125, -37.83929443359375, -38.6807975769043, -42.99093246459961, -43.616851806640625, -44.449378967285156, -46.46746063232422, -44.556556701660156, -44.246891021728516, -43.178890228271484, -41.35946273803711, -39.626338958740234, -41.2625846862793, -40.25535583496094, -39.41292953491211, -38.452396392822266, -38.183956146240234, -36.84836959838867, -35.432979583740234]
600;[16.445796966552734, 13.752486228942871, 11.757852554321289, 10.849532127380371, 10.861568450927734, 11.204981803894043, 11.311737060546875, 11.119318962097168, 11.103405952453613, 11.095666885375977, 10.915688514709473, 10.925124168395996, 10.804852485656738, 10.649801254272461, 10.528486251831055, 10.354889869689941, 10.396078109741211, 10.283832550048828, 10.107287406921387, 10.013017654418945, 9.914743423461914];[1.366222858428955, 1.2760266065597534, 1.2198667526245117, 1.239190697669983, 1.3011327981948853, 1.3117823600769043, 1.3075228929519653, 1.3082164525985718, 1.3104466199874878, 1.3120238780975342, 1.307633876800537, 1.3076634407043457, 1.3060816526412964, 1.3006622791290283, 1.2966786623001099, 1.289198875427246, 1.2883386611938477, 1.2819961309432983, 1.2788012027740479, 1.275389552116394, 1.2694708108901978];[-73.1614761352539, -48.25148391723633, -39.993736267089844, -35.985755920410156, -44.729862213134766, -48.298606872558594, -52.60295867919922, -49.79720687866211, -51.7387809753418, -52.126312255859375, -49.452781677246094, -50.75346755981445, -48.65225601196289, -48.43980407714844, -47.30158996582031, -45.05531692504883, -46.44767761230469, -45.44740676879883, -42.90827941894531, -42.607521057128906, -42.364620208740234]
650;[16.45193099975586, 13.621743202209473, 12.243053436279297, 11.647103309631348, 11.162946701049805, 11.09994125366211, 10.999423027038574, 10.769164085388184, 10.655567169189453, 10.474135398864746, 10.616695404052734, 10.645613670349121, 10.521031379699707, 10.404589653015137, 10.258482933044434, 10.096202850341797, 10.022122383117676, 10.006572723388672, 9.89157485961914, 9.700736045837402, 9.542513847351074];[1.3663195371627808, 1.2932624816894531, 1.2700724601745605, 1.3163849115371704, 1.3173936605453491, 1.3256313800811768, 1.331531047821045, 1.3286937475204468, 1.318795919418335, 1.3167442083358765, 1.3422168493270874, 1.3288722038269043, 1.3282769918441772, 1.3216379880905151, 1.3020806312561035, 1.2961326837539673, 1.3106530904769897, 1.3103768825531006, 1.314405083656311, 1.2995915412902832, 1.2875572443008423];[-72.22311401367188, -58.18256759643555, -51.06406784057617, -52.385746002197266, -49.66026306152344, -48.81105041503906, -47.74970626831055, -45.490604400634766, -45.06405258178711, -42.810733795166016, -44.82524108886719, -45.3658561706543, -44.711185455322266, -43.416656494140625, -43.134437561035156, -40.20307922363281, -40.26373291015625, -41.02577209472656, -39.742557525634766, -38.20814895629883, -36.975894927978516]
700;[16.44110870361328, 13.727912902832031, 11.451940536499023, 10.188976287841797, 10.179545402526855, 10.477751731872559, 10.374150276184082, 10.253791809082031, 10.209311485290527, 10.008136749267578, 9.934087753295898, 9.915487289428711, 9.955050468444824, 10.081238746643066, 10.160238265991211, 10.20725154876709, 10.110965728759766, 10.136998176574707, 10.056500434875488, 9.864117622375488, 9.64536190032959];[1.368178367614746, 1.2779121398925781, 1.1790063381195068, 1.236063838005066, 1.268510341644287, 1.2808945178985596, 1.2698029279708862, 1.308180570602417, 1.2893872261047363, 1.2761142253875732, 1.2785117626190186, 1.2650781869888306, 1.2807106971740723, 1.3079986572265625, 1.329587459564209, 1.3328354358673096, 1.3350021839141846, 1.3377962112426758, 1.3248450756072998, 1.3231041431427002, 1.311638593673706];[-70.58049774169922, -49.9853401184082, -32.41752624511719, -32.71592712402344, -37.712745666503906, -40.02554702758789, -39.530826568603516, -39.95814514160156, -39.61917495727539, -39.305999755859375, -38.714412689208984, -39.862709045410156, -40.331668853759766, -41.00273513793945, -41.86411666870117, -43.152854919433594, -42.0922737121582, -42.52045822143555, -42.15436553955078, -40.17619323730469, -38.64872360229492]
750;[16.441638946533203, 13.383553504943848, 12.065726280212402, 11.516849517822266, 11.32292366027832, 11.210529327392578, 11.075636863708496, 11.062427520751953, 11.102421760559082, 10.940496444702148, 10.764488220214844, 10.7709321975708, 10.61806869506836, 10.649971961975098, 10.64477825164795, 10.602635383605957, 10.515582084655762, 10.398857116699219, 10.215531349182129, 10.24249267578125, 10.165007591247559];[1.3659892082214355, 1.2797938585281372, 1.2661408185958862, 1.3448065519332886, 1.3656704425811768, 1.361344337463379, 1.3594530820846558, 1.3596007823944092, 1.3604122400283813, 1.358526587486267, 1.3466869592666626, 1.3473925590515137, 1.3428667783737183, 1.3664753437042236, 1.3608441352844238, 1.3425719738006592, 1.3502604961395264, 1.3469728231430054, 1.3422253131866455, 1.3313871622085571, 1.3315352201461792];[-68.30420684814453, -54.4305419921875, -47.99248123168945, -48.69586944580078, -50.55805969238281, -49.670101165771484, -47.9798469543457, -48.78129959106445, -50.064083099365234, -48.277000427246094, -46.995609283447266, -47.48738098144531, -46.220359802246094, -46.517433166503906, -47.501434326171875, -47.168888092041016, -46.01541519165039, -45.3105354309082, -43.23723602294922, -43.66010284423828, -43.31302261352539]
800;[16.437623977661133, 13.895079612731934, 11.530355453491211, 10.548705101013184, 10.529580116271973, 10.967421531677246, 10.811010360717773, 10.751320838928223, 10.751099586486816, 10.791735649108887, 10.733537673950195, 10.559138298034668, 10.44007682800293, 10.275823593139648, 10.205313682556152, 10.038376808166504, 9.802582740783691, 9.725279808044434, 9.547550201416016, 9.415389060974121, 9.146302223205566];[1.3679994344711304, 1.2775375843048096, 1.2150102853775024, 1.2525813579559326, 1.362973928451538, 1.3633677959442139, 1.3443245887756348, 1.3397893905639648, 1.3612538576126099, 1.3438584804534912, 1.3463072776794434, 1.3274720907211304, 1.335440993309021, 1.3406853675842285, 1.3435381650924683, 1.3315731287002563, 1.322392225265503, 1.3249326944351196, 1.3077160120010376, 1.3083548545837402, 1.2899665832519531];[-72.12739562988281, -48.3222770690918, -36.968379974365234, -32.74108123779297, -39.14897918701172, -46.269081115722656, -45.13740158081055, -45.79148483276367, -45.30146789550781, -47.381595611572266, -46.774417877197266, -45.709075927734375, -43.64761734008789, -43.0577392578125, -42.72284698486328, -40.856971740722656, -38.783538818359375, -38.3609733581543, -36.99202346801758, -35.93006896972656, -33.49540328979492]
850;[16.456480026245117, 13.41204833984375, 11.565784454345703, 10.803910255432129, 10.475543022155762, 10.241291046142578, 10.022043228149414, 9.875954627990723, 9.675366401672363, 10.069297790527344, 10.204902648925781, 10.100632667541504, 9.969470977783203, 9.689030647277832, 9.724578857421875, 9.803110122680664, 9.699420928955078, 9.527200698852539, 9.458651542663574, 9.393834114074707, 9.110469818115234];[1.368493676185608, 1.2705471515655518, 1.2351975440979004, 1.259777545928955, 1.314121127128601, 1.3133143186569214, 1.3091965913772583, 1.3053094148635864, 1.2917600870132446, 1.3421841859817505, 1.3307586908340454, 1.336819052696228, 1.335698127746582, 1.300797700881958, 1.29085111618042, 1.3207850456237793, 1.3225440979003906, 1.309096097946167, 1.3103619813919067, 1.318798542022705, 1.2957462072372437];[-71.09609985351562, -54.903114318847656, -41.0396728515625, -37.97303009033203, -35.95781326293945, -36.274070739746094, -34.290313720703125, -33.931819915771484, -34.84811782836914, -37.698028564453125, -40.7678108215332, -39.03425979614258, -38.31572341918945, -36.032989501953125, -37.75752258300781, -37.51277160644531, -36.67302703857422, -35.178707122802734, -35.73746871948242, -34.55396270751953, -32.767818450927734]
900;[16.432239532470703, 13.367295265197754, 12.087196350097656, 11.630401611328125, 11.432740211486816, 11.4312162399292, 11.241598129272461, 11.223328590393066, 11.28078842163086, 11.308093070983887, 11.133657455444336, 11.182992935180664, 11.036611557006836, 10.901729583740234, 10.727063179016113, 10.679826736450195, 10.651871681213379, 10.515068054199219, 10.315829277038574, 10.27226448059082, 10.548962593078613];[1.3673170804977417, 1.2810782194137573, 1.2707154750823975, 1.3245261907577515, 1.3921403884887695, 1.3690903186798096, 1.3651295900344849, 1.3692954778671265, 1.368369460105896, 1.362565279006958, 1.3524603843688965, 1.35968816280365, 1.3565176725387573, 1.3579977750778198, 1.3470245599746704, 1.3571422100067139, 1.3516291379928589, 1.345851182937622, 1.3333200216293335, 1.3271911144256592, 1.347414255142212];[-71.49020385742188, -54.487762451171875, -50.63563919067383, -48.929141998291016, -51.624996185302734, -53.3630485534668, -51.358787536621094, -52.392337799072266, -53.207908630371094, -54.3299446105957, -52.264381408691406, -52.92771530151367, -51.56012725830078, -49.84833908081055, -48.749637603759766, -47.975746154785156, -48.20030212402344, -47.05219650268555, -45.129905700683594, -45.1021614074707, -47.8021240234375]
950;[16.42078971862793, 13.990723609924316, 11.613899230957031, 10.200008392333984, 10.309831619262695, 10.639113426208496, 10.567100524902344, 10.603053092956543, 10.510080337524414, 10.654109954833984, 10.716727256774902, 10.514941215515137, 10.486214637756348, 10.40221881866455, 10.294337272644043, 10.055429458618164, 9.963008880615234, 9.683115005493164, 9.4819974899292, 9.399120330810547, 9.15969181060791];[1.3639811277389526, 1.2840485572814941, 1.1820836067199707, 1.2452383041381836, 1.3272666931152344, 1.3236987590789795, 1.3201135396957397, 1.3022667169570923, 1.2888712882995605, 1.2884823083877563, 1.302231788635254, 1.2888679504394531, 1.2867989540100098, 1.2900389432907104, 1.285248875617981, 1.2700227499008179, 1.2724815607070923, 1.2491869926452637, 1.2570147514343262, 1.2722413539886475, 1.2706432342529297];[-69.89213562011719, -51.598812103271484, -32.082374572753906, -31.033124923706055, -39.15396499633789, -42.93006896972656, -41.593387603759766, -42.47544479370117, -43.29924011230469, -46.36216735839844, -47.06950759887695, -45.633331298828125, -45.790626525878906, -45.40336990356445, -44.250648498535156, -42.74612808227539, -41.180938720703125, -38.37931823730469, -37.20271301269531, -36.084163665771484, -34.15521240234375]
1000;[16.473438262939453, 13.52613639831543, 11.875578880310059, 10.939769744873047, 10.98465347290039, 11.021371841430664, 10.882885932922363, 10.86126708984375, 10.77480697631836, 10.6044282913208, 10.663989067077637, 10.781839370727539, 10.573801040649414, 10.692953109741211, 10.487168312072754, 10.527994155883789, 10.459674835205078, 10.256032943725586, 10.110908508300781, 9.970490455627441, 9.906144142150879];[1.3710981607437134, 1.2847644090652466, 1.2375590801239014, 1.2525622844696045, 1.2979986667633057, 1.3015249967575073, 1.298514723777771, 1.3027592897415161, 1.301377296447754, 1.2892433404922485, 1.3042023181915283, 1.2975519895553589, 1.3009272813796997, 1.289244532585144, 1.2896479368209839, 1.2969249486923218, 1.2926536798477173, 1.282384991645813, 1.2699532508850098, 1.2711420059204102, 1.2732467651367188];[-71.53129577636719, -54.005252838134766, -44.536163330078125, -41.42521667480469, -46.21233367919922, -48.532196044921875, -46.90052795410156, -48.804866790771484, -47.57267761230469, -46.339393615722656, -47.07207489013672, -49.888919830322266, -46.81026840209961, -49.726863861083984, -47.152896881103516, -48.6063232421875, -46.95366287231445, -45.218345642089844, -44.433528900146484, -42.36408615112305, -42.25188064575195]
1050;[16.460067749023438, 13.430249214172363, 11.744980812072754, 11.187080383300781, 11.227002143859863, 11.351753234863281, 11.361867904663086, 11.32183837890625, 11.199376106262207, 11.040979385375977, 10.892939567565918, 10.686227798461914, 10.60832405090332, 10.491401672363281, 10.428444862365723, 10.225763320922852, 10.23826789855957, 10.110568046569824, 10.032470703125, 9.879942893981934, 9.762323379516602];[1.3678568601608276, 1.2764723300933838, 1.2326712608337402, 1.296790599822998, 1.3620408773422241, 1.360949993133545, 1.3801701068878174, 1.3722800016403198, 1.37784743309021, 1.3604600429534912, 1.3710293769836426, 1.3456392288208008, 1.3672738075256348, 1.3333029747009277, 1.3509079217910767, 1.3299636840820312, 1.3370132446289062, 1.3336949348449707, 1.3377920389175415, 1.325524926185608, 1.3214737176895142];[-72.63299560546875, -55.85818862915039, -42.38737869262695, -43.193580627441406, -49.81145095825195, -52.21467590332031, -52.1552619934082, -53.0620002746582, -51.329490661621094, -50.715579986572266, -48.46229553222656, -47.1055793762207, -45.54170227050781, -45.371498107910156, -44.1217155456543, -43.18040084838867, -43.549537658691406, -42.47746276855469, -41.43745040893555, -40.57065963745117, -39.628849029541016]
1100;[16.413972854614258, 13.840893745422363, 12.045062065124512, 10.941849708557129, 10.715719223022461, 10.614014625549316, 10.674783706665039, 10.64157485961914, 10.505057334899902, 10.358978271484375, 10.345726013183594, 10.38752555847168, 10.437726020812988, 10.340476989746094, 10.125389099121094, 9.85038948059082, 9.871331214904785, 9.677448272705078, 9.5275239944458, 9.253772735595703, 9.16636848449707];[1.3666386604309082, 1.2945042848587036, 1.2420551776885986, 1.2395777702331543, 1.3206586837768555, 1.322219729423523, 1.3434025049209595, 1.3637802600860596, 1.3577691316604614, 1.3537575006484985, 1.339699387550354, 1.3475899696350098, 1.3720282316207886, 1.3549412488937378, 1.3435918092727661, 1.3299229145050049, 1.3394856452941895, 1.326300859451294, 1.317603588104248, 1.3063955307006836, 1.2904963493347168];[-71.88027954101562, -58.661338806152344, -44.955413818359375, -38.10026168823242, -41.077884674072266, -41.4371223449707, -43.60358428955078, -43.79902267456055, -42.374080657958984, -41.139122009277344, -41.6821403503418, -43.14839172363281, -43.359867095947266, -42.97419357299805, -40.764564514160156, -38.87712478637695, -38.81344223022461, -37.774803161621094, -35.98311996459961, -33.787574768066406, -33.828365325927734]
1150;[16.45362091064453, 13.585114479064941, 11.967432022094727, 11.217620849609375, 10.775568962097168, 10.743682861328125, 10.884090423583984, 10.767621040344238, 10.632159233093262, 10.539837837219238, 10.35252571105957, 10.326844215393066, 10.355016708374023, 10.35690689086914, 10.325361251831055, 10.176773071289062, 10.1011381149292, 10.01601791381836, 9.897778511047363, 9.96053695678711, 10.0920991897583];[1.366358757019043, 1.271631121635437, 1.2367079257965088, 1.2424688339233398, 1.2470983266830444, 1.2762428522109985, 1.2914819717407227, 1.278978705406189, 1.2773466110229492, 1.2817389965057373, 1.2808574438095093, 1.2824339866638184, 1.2810113430023193, 1.2787493467330933, 1.2855850458145142, 1.2891942262649536, 1.2811193466186523, 1.27538001537323, 1.269549012184143, 1.2617133855819702, 1.2730518579483032];[-71.40580749511719, -49.52903366088867, -44.15324401855469, -42.35511779785156, -40.387046813964844, -45.978458404541016, -48.15171432495117, -46.986358642578125, -45.91163635253906, -44.87318420410156, -43.584896087646484, -43.3516845703125, -44.5485725402832, -44.737735748291016, -44.23320007324219, -42.486854553222656, -42.79861831665039, -42.1877555847168, -41.62515640258789, -42.36595153808594, -43.7591552734375]
