Seed;RMSE History;MMD History;Log-Likelihood History
550;[16.384872436523438, 13.271358489990234, 11.418068885803223, 11.056724548339844, 11.131512641906738, 11.036262512207031, 10.844684600830078, 10.807355880737305, 10.899728775024414, 10.732375144958496, 10.546090126037598, 10.333032608032227, 10.272500038146973, 10.129366874694824, 9.982051849365234, 9.838239669799805, 9.568984031677246, 9.356985092163086, 9.11651611328125, 8.958037376403809, 8.815433502197266];[1.399965524673462, 1.3046503067016602, 1.2731972932815552, 1.3374922275543213, 1.355167269706726, 1.3603848218917847, 1.3556939363479614, 1.3647019863128662, 1.3913238048553467, 1.390668511390686, 1.3801699876785278, 1.3829554319381714, 1.3636990785598755, 1.3503607511520386, 1.3495579957962036, 1.3485602140426636, 1.3408163785934448, 1.3446882963180542, 1.3227938413619995, 1.3051921129226685, 1.3103854656219482];[-71.69013977050781, -53.415245056152344, -42.36019515991211, -43.343894958496094, -49.01747512817383, -47.76948165893555, -45.693397521972656, -46.577754974365234, -46.524837493896484, -45.5651969909668, -43.94918441772461, -41.69878005981445, -42.1214714050293, -42.19925308227539, -40.73193359375, -38.96168518066406, -36.18794250488281, -34.520042419433594, -33.139366149902344, -32.5433464050293, -31.321186065673828]
600;[16.371875762939453, 13.683684349060059, 11.701115608215332, 10.04179859161377, 9.01364517211914, 8.551097869873047, 8.362768173217773, 8.283685684204102, 7.605433940887451, 7.093440055847168, 7.150691986083984, 7.080787181854248, 7.158163070678711, 7.073112964630127, 7.0316948890686035, 7.066781044006348, 6.9167938232421875, 7.053211688995361, 6.959192276000977, 6.93148136138916, 6.748388767242432];[1.3977935314178467, 1.3116146326065063, 1.2398074865341187, 1.2117877006530762, 1.3094987869262695, 1.4943079948425293, 1.5566412210464478, 1.5612571239471436, 1.491398811340332, 1.4176770448684692, 1.442653775215149, 1.428336501121521, 1.4400197267532349, 1.4355828762054443, 1.4358233213424683, 1.4389218091964722, 1.4268772602081299, 1.45037841796875, 1.4296795129776, 1.4379544258117676, 1.4034135341644287];[-72.76250457763672, -47.225929260253906, -34.881195068359375, -25.051321029663086, -17.78451919555664, -16.255830764770508, -17.726655960083008, -17.895103454589844, -15.618963241577148, -15.161469459533691, -16.021642684936523, -16.013032913208008, -15.78991985321045, -16.05526351928711, -15.669022560119629, -15.847145080566406, -15.144794464111328, -15.87301254272461, -15.282919883728027, -15.200242042541504, -14.608037948608398]
650;[16.365907669067383, 13.660710334777832, 12.036420822143555, 11.233563423156738, 10.7494478225708, 10.951996803283691, 10.693145751953125, 10.569674491882324, 10.520792007446289, 10.471353530883789, 10.247476577758789, 10.139364242553711, 9.967681884765625, 9.703133583068848, 9.419746398925781, 9.399625778198242, 9.3358736038208, 9.047992706298828, 8.881186485290527, 8.676558494567871, 8.448280334472656];[1.3927809000015259, 1.3207824230194092, 1.2899473905563354, 1.325496792793274, 1.3343509435653687, 1.336665391921997, 1.3264939785003662, 1.3657325506210327, 1.3942153453826904, 1.401003122329712, 1.3930286169052124, 1.3933504819869995, 1.388789176940918, 1.3771761655807495, 1.369232177734375, 1.356783151626587, 1.3618512153625488, 1.3426144123077393, 1.3524914979934692, 1.3296771049499512, 1.318651556968689];[-71.73751831054688, -56.096622467041016, -49.93270492553711, -44.937774658203125, -44.8410758972168, -46.675132751464844, -44.07706069946289, -43.54741287231445, -43.70265579223633, -42.87348937988281, -41.290409088134766, -40.23453140258789, -39.16801834106445, -36.544864654541016, -34.45917510986328, -35.09941101074219, -34.42552947998047, -32.821128845214844, -31.0906982421875, -29.455177307128906, -28.484514236450195]
700;[16.352001190185547, 13.915837287902832, 11.395832061767578, 10.644326210021973, 10.36776351928711, 9.98792839050293, 9.932775497436523, 9.774767875671387, 9.839534759521484, 9.728039741516113, 9.83255386352539, 9.784078598022461, 9.507817268371582, 9.520171165466309, 9.591385841369629, 9.602853775024414, 9.70162296295166, 9.545890808105469, 9.529876708984375, 9.420777320861816, 9.247583389282227];[1.3948147296905518, 1.3287289142608643, 1.2602921724319458, 1.3165713548660278, 1.3925710916519165, 1.3844784498214722, 1.3992799520492554, 1.3549593687057495, 1.3819407224655151, 1.3634037971496582, 1.357324242591858, 1.3858951330184937, 1.3511607646942139, 1.374942660331726, 1.3533623218536377, 1.3593977689743042, 1.3476351499557495, 1.3425439596176147, 1.3491532802581787, 1.3450324535369873, 1.3424116373062134];[-70.16020202636719, -49.23137283325195, -36.41361999511719, -35.642364501953125, -34.787811279296875, -33.458518981933594, -32.93409729003906, -34.20343780517578, -34.88420867919922, -35.70790481567383, -37.54618835449219, -36.34678268432617, -35.13201904296875, -35.812652587890625, -37.939640045166016, -37.543174743652344, -39.17048645019531, -37.57313537597656, -37.835453033447266, -36.7380256652832, -35.370792388916016]
750;[16.363067626953125, 13.414767265319824, 11.805167198181152, 11.472864151000977, 11.073561668395996, 10.905651092529297, 10.985725402832031, 10.716017723083496, 10.364834785461426, 10.409188270568848, 10.310371398925781, 10.216368675231934, 10.089531898498535, 9.599630355834961, 9.537334442138672, 9.312341690063477, 9.255727767944336, 9.036604881286621, 8.468470573425293, 7.9121623039245605, 7.541287422180176];[1.3971993923187256, 1.3076895475387573, 1.2943496704101562, 1.400238037109375, 1.3891297578811646, 1.371320366859436, 1.390601634979248, 1.395106315612793, 1.3886469602584839, 1.4149696826934814, 1.4536741971969604, 1.5382076501846313, 1.6233493089675903, 1.6068071126937866, 1.6162049770355225, 1.591741919517517, 1.6034035682678223, 1.5865793228149414, 1.5591877698898315, 1.5339250564575195, 1.5125128030776978];[-67.83625793457031, -52.444759368896484, -45.50955581665039, -45.0495719909668, -44.69451141357422, -43.60898971557617, -44.092620849609375, -41.397674560546875, -38.46051788330078, -38.01719665527344, -36.21306610107422, -34.1475715637207, -32.904483795166016, -31.479631423950195, -30.723962783813477, -29.285625457763672, -28.90192413330078, -27.75017547607422, -23.77127456665039, -20.583715438842773, -18.971189498901367]
800;[16.35968780517578, 13.87917709350586, 11.77624797821045, 9.649438858032227, 8.864689826965332, 7.422948837280273, 7.579874038696289, 8.551409721374512, 9.17440414428711, 9.607619285583496, 9.65339183807373, 9.580501556396484, 9.413793563842773, 9.555805206298828, 9.6909761428833, 9.47634220123291, 9.448531150817871, 9.391578674316406, 9.420848846435547, 9.29414176940918, 9.053454399108887];[1.3976714611053467, 1.3248164653778076, 1.2424037456512451, 1.2319766283035278, 1.381203055381775, 1.2588717937469482, 1.224104881286621, 1.278375267982483, 1.3034995794296265, 1.351535439491272, 1.3401615619659424, 1.3352196216583252, 1.3064481019973755, 1.309083104133606, 1.3217151165008545, 1.3233206272125244, 1.3307157754898071, 1.322365403175354, 1.3128362894058228, 1.312635898590088, 1.3048253059387207];[-71.7194595336914, -51.48258972167969, -33.910911560058594, -23.020118713378906, -17.276697158813477, -16.632232666015625, -20.459980010986328, -27.04810333251953, -31.759502410888672, -35.41884994506836, -36.576446533203125, -35.5863151550293, -35.557334899902344, -37.59107971191406, -38.16007614135742, -36.291900634765625, -36.489261627197266, -36.720577239990234, -37.3299560546875, -36.12337112426758, -34.28117752075195]
850;[16.377588272094727, 13.374250411987305, 11.645999908447266, 11.027003288269043, 11.067878723144531, 11.015953063964844, 11.07342529296875, 10.9232759475708, 10.684150695800781, 10.548940658569336, 10.226606369018555, 10.155421257019043, 10.084166526794434, 9.871307373046875, 9.575224876403809, 9.433147430419922, 9.273585319519043, 9.266339302062988, 9.34926986694336, 8.948746681213379, 8.546393394470215];[1.3963427543640137, 1.312892198562622, 1.2728800773620605, 1.3516571521759033, 1.390020728111267, 1.392871379852295, 1.419217824935913, 1.4324966669082642, 1.43680739402771, 1.4056097269058228, 1.3963699340820312, 1.3767390251159668, 1.3739023208618164, 1.370126485824585, 1.3539018630981445, 1.3591041564941406, 1.375209093093872, 1.402165412902832, 1.4019007682800293, 1.3930346965789795, 1.3578208684921265];[-70.67257690429688, -52.73691940307617, -39.7611198425293, -39.35329818725586, -47.66933059692383, -46.672584533691406, -46.064353942871094, -45.239192962646484, -42.52500534057617, -43.05434036254883, -40.2648811340332, -40.929786682128906, -40.29096221923828, -38.670989990234375, -35.98038101196289, -34.470481872558594, -33.85029220581055, -33.823917388916016, -34.40009689331055, -31.53022003173828, -28.673734664916992]
900;[16.363178253173828, 13.661468505859375, 12.119965553283691, 10.300406455993652, 9.675050735473633, 8.753732681274414, 8.092988014221191, 8.000043869018555, 8.615608215332031, 8.876323699951172, 8.788874626159668, 8.69697093963623, 8.914215087890625, 8.985267639160156, 9.24072551727295, 9.373800277709961, 9.533421516418457, 9.48987102508545, 9.486894607543945, 9.36674690246582, 9.160634994506836];[1.3949940204620361, 1.3143229484558105, 1.2582240104675293, 1.299435019493103, 1.480757713317871, 1.4812147617340088, 1.3949639797210693, 1.3292357921600342, 1.3714089393615723, 1.3847930431365967, 1.362504243850708, 1.3382023572921753, 1.3139053583145142, 1.2968770265579224, 1.3213088512420654, 1.325734257698059, 1.320662260055542, 1.3083842992782593, 1.3181644678115845, 1.3167918920516968, 1.3162012100219727];[-71.18006134033203, -53.5952033996582, -37.99388122558594, -26.406110763549805, -21.636367797851562, -20.052717208862305, -19.572729110717773, -20.321691513061523, -24.733671188354492, -26.756385803222656, -26.155956268310547, -27.811908721923828, -30.00428009033203, -32.17176818847656, -34.78618621826172, -36.22818374633789, -38.341068267822266, -38.74766540527344, -38.215084075927734, -37.23505783081055, -35.68794631958008]
950;[16.34657859802246, 14.127764701843262, 11.33202838897705, 9.732251167297363, 9.277148246765137, 8.911676406860352, 9.159241676330566, 9.034660339355469, 9.003567695617676, 8.831960678100586, 8.999300956726074, 9.340662002563477, 9.305994033813477, 9.196334838867188, 8.859457969665527, 8.659113883972168, 8.448777198791504, 8.12450885772705, 7.732114791870117, 7.218518257141113, 6.803689479827881];[1.3949438333511353, 1.3386181592941284, 1.2391953468322754, 1.2190207242965698, 1.4175469875335693, 1.4053692817687988, 1.438301682472229, 1.3857487440109253, 1.3887076377868652, 1.354334831237793, 1.3292852640151978, 1.3476989269256592, 1.3320324420928955, 1.3664485216140747, 1.3269768953323364, 1.341891884803772, 1.3383899927139282, 1.3307679891586304, 1.311249852180481, 1.2703168392181396, 1.2191176414489746];[-69.52418518066406, -53.86774444580078, -32.91333770751953, -23.837120056152344, -24.888681411743164, -26.020130157470703, -26.739789962768555, -27.098045349121094, -27.549732208251953, -28.1549072265625, -31.128644943237305, -34.31825256347656, -33.9737434387207, -32.84135055541992, -30.615829467773438, -29.07314682006836, -27.453025817871094, -25.001981735229492, -22.174222946166992, -19.792160034179688, -17.6966552734375]
1000;[16.38182258605957, 13.657849311828613, 11.819879531860352, 10.955008506774902, 10.648018836975098, 10.274065017700195, 10.304971694946289, 10.136863708496094, 10.021541595458984, 10.029644012451172, 9.865774154663086, 9.535577774047852, 9.121878623962402, 8.554337501525879, 8.062278747558594, 7.606466293334961, 7.2169294357299805, 6.528054237365723, 6.383745193481445, 6.226690769195557, 6.405256748199463];[1.3992834091186523, 1.3147000074386597, 1.2939457893371582, 1.3839318752288818, 1.4590681791305542, 1.4433785676956177, 1.4651286602020264, 1.4112118482589722, 1.4135969877243042, 1.4668291807174683, 1.440831184387207, 1.4556338787078857, 1.4369730949401855, 1.4127148389816284, 1.3978091478347778, 1.380961298942566, 1.3707683086395264, 1.2963016033172607, 1.2745033502578735, 1.2420146465301514, 1.2896493673324585];[-71.03240966796875, -54.13496017456055, -43.4078254699707, -36.77785110473633, -35.522491455078125, -34.694091796875, -35.08978271484375, -36.06523895263672, -34.283958435058594, -35.77754211425781, -35.363277435302734, -32.39824295043945, -29.603652954101562, -25.4392147064209, -21.968107223510742, -20.361587524414062, -17.5112361907959, -14.805315017700195, -14.243000030517578, -14.1177978515625, -14.737839698791504]
