Seed;RMSE History;MMD History;Log-Likelihood History
550;[16.461767196655273, 8.312457084655762, 4.863053321838379, 3.983790397644043, 3.3705739974975586, 3.100029945373535, 3.010101318359375, 2.837268590927124, 2.8095810413360596, 2.6280312538146973, 2.583367109298706, 2.554269313812256, 2.541822910308838, 2.491694450378418, 2.3204243183135986, 2.3075640201568604, 2.2919259071350098, 2.2732152938842773, 2.2163350582122803, 2.202895402908325, 2.2107338905334473];[1.370705246925354, 1.3194829225540161, 0.914060652256012, 0.708666980266571, 0.5145537853240967, 0.41563642024993896, 0.3783077299594879, 0.31069159507751465, 0.30497676134109497, 0.2329905480146408, 0.21506130695343018, 0.20571960508823395, 0.19728367030620575, 0.17550811171531677, 0.10336561501026154, 0.09504126757383347, 0.09322291612625122, 0.08496455103158951, 0.0568324439227581, 0.05414961650967598, 0.0540473572909832];[-72.1158676147461, -18.515626907348633, -6.579197883605957, -5.052927017211914, -3.874330997467041, -3.467348098754883, -3.3379056453704834, -3.055793523788452, -3.0766210556030273, -2.7843847274780273, -2.736515998840332, -2.7067482471466064, -2.6848952770233154, -2.630955219268799, -2.3818247318267822, -2.3508739471435547, -2.338700294494629, -2.292379140853882, -2.227538824081421, -2.213646173477173, -2.220590829849243]
600;[16.445796966552734, 11.476799011230469, 5.5435357093811035, 4.902125835418701, 3.3975512981414795, 2.7601242065429688, 2.5743227005004883, 2.3803203105926514, 2.3121120929718018, 2.1236472129821777, 2.1383466720581055, 2.1168248653411865, 2.1219429969787598, 2.1156179904937744, 2.1058313846588135, 2.1255104541778564, 2.1242480278015137, 2.114779233932495, 2.106110095977783, 2.1005730628967285, 2.0988166332244873];[1.366222858428955, 1.3387237787246704, 1.054205298423767, 0.8802459836006165, 0.5090016722679138, 0.26505717635154724, 0.19334553182125092, 0.11425581574440002, 0.08685430884361267, 0.0077988081611692905, 0.011416001245379448, 0.006876449566334486, 0.007812567986547947, 0.014687098562717438, 0.010455608367919922, 0.012072865851223469, 0.011403803713619709, 0.006489661522209644, 0.005235947202891111, 0.0049666911363601685, 0.006583666894584894];[-73.1614761352539, -46.18376922607422, -8.418070793151855, -7.722527980804443, -3.942941904067993, -2.8754847049713135, -2.6413967609405518, -2.360341787338257, -2.2965948581695557, -2.0633420944213867, -2.0742218494415283, -2.0513596534729004, -2.066179037094116, -2.073214530944824, -2.072561740875244, -2.086798667907715, -2.089797258377075, -2.0860788822174072, -2.074298143386841, -2.067544460296631, -2.08018159866333]
650;[16.45193099975586, 11.64921760559082, 11.589585304260254, 11.536904335021973, 11.468523025512695, 11.603492736816406, 4.7183122634887695, 4.6011643409729, 3.2117693424224854, 2.8967223167419434, 2.8762776851654053, 2.627157688140869, 2.5332632064819336, 2.479297399520874, 2.2477598190307617, 2.214993476867676, 2.212162494659424, 2.193711280822754, 2.168121099472046, 2.1864588260650635, 2.181932210922241];[1.3663195371627808, 1.3090205192565918, 1.3315402269363403, 1.3565187454223633, 1.3710336685180664, 1.4103752374649048, 0.8720530867576599, 0.8484916090965271, 0.464589923620224, 0.3433557152748108, 0.3408096432685852, 0.23973429203033447, 0.1947963833808899, 0.17492742836475372, 0.07714948058128357, 0.05421377345919609, 0.050058115273714066, 0.04942268505692482, 0.03916109725832939, 0.041675254702568054, 0.042835477739572525];[-72.22311401367188, -50.315086364746094, -51.775306701660156, -53.17780685424805, -52.84865188598633, -53.8055419921875, -7.906033992767334, -7.656424522399902, -3.894402503967285, -3.275418758392334, -3.250570774078369, -2.835658550262451, -2.6808221340179443, -2.6069796085357666, -2.2753169536590576, -2.2091386318206787, -2.2173023223876953, -2.203721523284912, -2.1629154682159424, -2.1974852085113525, -2.1956238746643066]
700;[16.44110870361328, 8.297286033630371, 8.20520305633545, 3.799575090408325, 4.109729290008545, 3.6638267040252686, 3.502321481704712, 3.1011507511138916, 3.0706982612609863, 2.881169319152832, 2.8173627853393555, 2.7100162506103516, 2.70571231842041, 2.736956834793091, 2.7560317516326904, 2.5654690265655518, 2.5501577854156494, 2.5003726482391357, 2.464409589767456, 2.434460163116455, 2.4093990325927734];[1.368178367614746, 1.3580387830734253, 1.2913751602172852, 0.6432956457138062, 0.7542231678962708, 0.6301077604293823, 0.5649104714393616, 0.4253426790237427, 0.4131334722042084, 0.3450740873813629, 0.3170006573200226, 0.2743118405342102, 0.27153584361076355, 0.2923327386379242, 0.29944905638694763, 0.21537397801876068, 0.2075038105249405, 0.1857769638299942, 0.1756294220685959, 0.16266794502735138, 0.1495283544063568];[-70.58049774169922, -17.912696838378906, -21.213401794433594, -4.573521137237549, -5.358697891235352, -4.559025287628174, -4.338803291320801, -3.572932481765747, -3.5046579837799072, -3.216153621673584, -3.112262010574341, -2.9525482654571533, -2.965104579925537, -3.025178909301758, -3.0768113136291504, -2.764477252960205, -2.742730140686035, -2.6610329151153564, -2.609792470932007, -2.5738537311553955, -2.531684637069702]
750;[16.441638946533203, 8.139725685119629, 4.7080559730529785, 3.8695623874664307, 3.3012824058532715, 2.9309940338134766, 2.850083351135254, 2.855234384536743, 2.5903310775756836, 2.5444958209991455, 2.530715227127075, 2.5043277740478516, 2.481386661529541, 2.5192792415618896, 2.5367202758789062, 2.4657835960388184, 2.395836114883423, 2.3507933616638184, 2.416574716567993, 2.3273727893829346, 2.324340581893921];[1.3659892082214355, 1.2617937326431274, 0.8814308047294617, 0.6631534099578857, 0.47024005651474, 0.34409594535827637, 0.30995476245880127, 0.3220820128917694, 0.20766007900238037, 0.19463855028152466, 0.18850566446781158, 0.17755602300167084, 0.175865039229393, 0.18762317299842834, 0.20034606754779816, 0.17026302218437195, 0.13734091818332672, 0.12559491395950317, 0.14946632087230682, 0.10299550741910934, 0.1062733456492424];[-68.30420684814453, -19.243335723876953, -6.185474872589111, -4.747074127197266, -3.6998541355133057, -3.1865203380584717, -3.0759027004241943, -3.152665376663208, -2.6892731189727783, -2.649874687194824, -2.6300997734069824, -2.6085147857666016, -2.6004443168640137, -2.649209499359131, -2.7025041580200195, -2.5893359184265137, -2.484475612640381, -2.4315237998962402, -2.529026508331299, -2.392476797103882, -2.400256872177124]
800;[16.437623977661133, 11.554564476013184, 5.4638352394104, 4.218318939208984, 3.9157333374023438, 3.913051128387451, 3.004016160964966, 2.9504852294921875, 2.9975500106811523, 2.7865819931030273, 2.5931756496429443, 2.4380452632904053, 2.360325336456299, 2.3127901554107666, 2.281839370727539, 2.2263312339782715, 2.237478733062744, 2.2449495792388916, 2.2581615447998047, 2.2264058589935303, 2.207521438598633];[1.3679994344711304, 1.3380929231643677, 1.044331431388855, 0.768266499042511, 0.6732708811759949, 0.6830592155456543, 0.3786400258541107, 0.36063358187675476, 0.38840508460998535, 0.3047175705432892, 0.21933482587337494, 0.1473897397518158, 0.11534120887517929, 0.10023967921733856, 0.08764739334583282, 0.061815619468688965, 0.06606247276067734, 0.07096191495656967, 0.07435660064220428, 0.06768371909856796, 0.05652356520295143];[-72.12739562988281, -45.586219787597656, -8.289493560791016, -5.479632377624512, -5.147494316101074, -5.246974468231201, -3.3223657608032227, -3.2542755603790283, -3.4179656505584717, -3.052224636077881, -2.735184907913208, -2.5040087699890137, -2.3876001834869385, -2.355619192123413, -2.3238391876220703, -2.222867965698242, -2.25020694732666, -2.271364212036133, -2.2850685119628906, -2.244929075241089, -2.218679666519165]
850;[16.456480026245117, 8.314166069030762, 8.251364707946777, 3.18881893157959, 3.3162035942077637, 3.4658515453338623, 3.1892688274383545, 3.1335582733154297, 2.8119089603424072, 2.7780075073242188, 2.5896878242492676, 2.6039135456085205, 2.4105799198150635, 2.3260738849639893, 2.2943649291992188, 2.325180768966675, 2.274040937423706, 2.2759180068969727, 2.288520574569702, 2.2469449043273926, 2.23563814163208];[1.368493676185608, 1.3215597867965698, 1.3024346828460693, 0.4078408479690552, 0.4749397337436676, 0.5386695265769958, 0.44603267312049866, 0.43220165371894836, 0.30948981642723083, 0.29421141743659973, 0.21747471392154694, 0.2197534143924713, 0.137265145778656, 0.10406496375799179, 0.0886860117316246, 0.09948403388261795, 0.082966148853302, 0.08554673194885254, 0.09106234461069107, 0.0686386227607727, 0.06961925327777863];[-71.09609985351562, -18.248031616210938, -22.230798721313477, -3.50288462638855, -3.7998082637786865, -4.2389397621154785, -3.686990261077881, -3.684891700744629, -3.0993704795837402, -3.037421941757202, -2.7954089641571045, -2.8146984577178955, -2.489516496658325, -2.3644020557403564, -2.3389081954956055, -2.38127064704895, -2.3148703575134277, -2.3298799991607666, -2.3391551971435547, -2.2695229053497314, -2.271655321121216]
900;[16.432239532470703, 8.311732292175293, 4.848270893096924, 4.42591667175293, 4.322747230529785, 4.205215930938721, 4.066266059875488, 4.042396545410156, 2.855639696121216, 2.7996108531951904, 2.6222774982452393, 2.6066434383392334, 2.5054240226745605, 2.4004263877868652, 2.4134604930877686, 2.42910099029541, 2.425717353820801, 2.461472272872925, 2.4198105335235596, 2.3923826217651367, 2.433842897415161];[1.3673170804977417, 1.3447778224945068, 0.9136854410171509, 0.7790035009384155, 0.7772930264472961, 0.7357354164123535, 0.6897586584091187, 0.6833582520484924, 0.3188798725605011, 0.29546260833740234, 0.22448807954788208, 0.22368064522743225, 0.18005986511707306, 0.13511335849761963, 0.14441849291324615, 0.1521783024072647, 0.1492522954940796, 0.16704612970352173, 0.15108941495418549, 0.1454600691795349, 0.16475623846054077];[-71.49020385742188, -19.216176986694336, -6.8273539543151855, -6.139081954956055, -6.301471710205078, -6.153390884399414, -6.0114240646362305, -6.133389949798584, -3.185244560241699, -3.1446938514709473, -2.837712287902832, -2.825066566467285, -2.6507761478424072, -2.4893600940704346, -2.527111291885376, -2.549821376800537, -2.545828342437744, -2.607837200164795, -2.545718193054199, -2.518977403640747, -2.5855846405029297]
950;[16.42078971862793, 8.425081253051758, 5.556906700134277, 5.408258438110352, 4.079679012298584, 3.52630615234375, 3.124497652053833, 2.950113296508789, 2.902134656906128, 2.5486319065093994, 2.478721857070923, 2.429457902908325, 2.4087398052215576, 2.346060037612915, 2.2490341663360596, 2.1951100826263428, 2.223271131515503, 2.195042133331299, 2.1992852687835693, 2.1916067600250244, 2.198138475418091];[1.3639811277389526, 1.4282108545303345, 1.0029593706130981, 0.9885654449462891, 0.7356873154640198, 0.5748307704925537, 0.425560861825943, 0.3624836802482605, 0.3439820110797882, 0.19278651475906372, 0.1692546308040619, 0.14565309882164001, 0.14257681369781494, 0.11641894280910492, 0.06850431114435196, 0.05078662931919098, 0.060357727110385895, 0.04677726328372955, 0.04558698087930679, 0.05023924261331558, 0.04752487316727638];[-69.89213562011719, -17.28229331970215, -8.845723152160645, -9.560904502868652, -5.441043853759766, -4.276852607727051, -3.5277304649353027, -3.287855863571167, -3.2317512035369873, -2.653515100479126, -2.567384958267212, -2.501821994781494, -2.479734182357788, -2.3943428993225098, -2.2614035606384277, -2.2001569271087646, -2.2304413318634033, -2.198782444000244, -2.206225633621216, -2.201758623123169, -2.2041923999786377]
1000;[16.473438262939453, 11.720895767211914, 11.675868034362793, 11.66122817993164, 11.592550277709961, 4.015752792358398, 4.178170680999756, 4.116962432861328, 3.1433658599853516, 2.677885055541992, 2.550933837890625, 2.5195000171661377, 2.5026397705078125, 2.464620590209961, 2.4728150367736816, 2.3034636974334717, 2.3062267303466797, 2.199681282043457, 2.2184484004974365, 2.211362838745117, 2.2506284713745117];[1.3710981607437134, 1.2873858213424683, 1.3095093965530396, 1.3152271509170532, 1.3211230039596558, 0.6434345245361328, 0.7057874202728271, 0.6878706216812134, 0.4159965217113495, 0.2443508505821228, 0.19867265224456787, 0.18159067630767822, 0.17896611988544464, 0.16255630552768707, 0.16790609061717987, 0.10040733218193054, 0.09888961166143417, 0.05000706762075424, 0.05396323278546333, 0.05801089107990265, 0.0716748759150505];[-71.53129577636719, -51.12281799316406, -54.26191329956055, -56.3011474609375, -55.400962829589844, -6.009559154510498, -6.4244489669799805, -6.472904205322266, -3.850297451019287, -2.9300897121429443, -2.71351957321167, -2.6893725395202637, -2.671511173248291, -2.607731580734253, -2.6371877193450928, -2.372633695602417, -2.3634443283081055, -2.2009449005126953, -2.2310707569122314, -2.233327865600586, -2.287020206451416]
