Seed;RMSE History;MMD History;Log-Likelihood History
550;[16.384872436523438, 13.388520240783691, 11.454909324645996, 11.019061088562012, 10.734511375427246, 10.952524185180664, 10.855669021606445, 10.786694526672363, 10.6992826461792, 10.539445877075195, 10.36728286743164, 10.292230606079102, 10.44457721710205, 10.43730354309082, 10.314979553222656, 10.362517356872559, 10.307673454284668, 10.129812240600586, 10.005525588989258, 9.983141899108887, 9.969747543334961];[1.399965524673462, 1.3088487386703491, 1.271106243133545, 1.3400973081588745, 1.3910667896270752, 1.3616244792938232, 1.3576246500015259, 1.375541090965271, 1.3758838176727295, 1.3693140745162964, 1.3667900562286377, 1.3454904556274414, 1.3681532144546509, 1.3858906030654907, 1.3670092821121216, 1.3889442682266235, 1.3764880895614624, 1.3762168884277344, 1.3687081336975098, 1.396335244178772, 1.381069540977478];[-71.69013977050781, -53.56539535522461, -42.15283203125, -42.12540054321289, -42.824249267578125, -48.13856506347656, -46.152626037597656, -47.1733283996582, -45.89958572387695, -44.78739929199219, -43.16038131713867, -43.518280029296875, -44.889522552490234, -45.006595611572266, -44.942832946777344, -44.70669937133789, -44.26707458496094, -42.734798431396484, -41.68040466308594, -41.491722106933594, -42.0696907043457]
600;[16.371875762939453, 13.73997688293457, 11.630454063415527, 10.954141616821289, 11.048315048217773, 11.023119926452637, 10.973428726196289, 10.847320556640625, 10.912189483642578, 10.779851913452148, 10.702027320861816, 10.576262474060059, 10.530359268188477, 10.282613754272461, 10.187758445739746, 10.002695083618164, 9.777560234069824, 9.755271911621094, 9.626997947692871, 9.518228530883789, 9.402844429016113];[1.3977935314178467, 1.3167914152145386, 1.2694144248962402, 1.3418759107589722, 1.3929983377456665, 1.392842411994934, 1.3738996982574463, 1.375614881515503, 1.3887438774108887, 1.3761252164840698, 1.3594520092010498, 1.3618667125701904, 1.3546667098999023, 1.3488842248916626, 1.3494948148727417, 1.3394677639007568, 1.3331818580627441, 1.3429980278015137, 1.3428833484649658, 1.3417260646820068, 1.3174047470092773];[-72.76250457763672, -48.638816833496094, -40.519996643066406, -39.58058547973633, -47.212623596191406, -47.3997802734375, -49.51384353637695, -48.036277770996094, -49.210384368896484, -48.397705078125, -48.081260681152344, -46.538429260253906, -45.999725341796875, -44.168277740478516, -43.415645599365234, -41.96355056762695, -40.11910629272461, -40.0714225769043, -39.11922073364258, -37.94762420654297, -37.9913215637207]
650;[16.365907669067383, 13.735071182250977, 11.977006912231445, 10.85840129852295, 10.363386154174805, 10.419114112854004, 10.434470176696777, 10.505764961242676, 10.373514175415039, 10.31745719909668, 10.118775367736816, 9.947134017944336, 9.965643882751465, 10.071310043334961, 9.959157943725586, 9.949158668518066, 9.94921588897705, 9.785107612609863, 9.781460762023926, 9.845516204833984, 9.805081367492676];[1.3927809000015259, 1.3259429931640625, 1.2800463438034058, 1.2747142314910889, 1.295997977256775, 1.285776972770691, 1.3298733234405518, 1.3411297798156738, 1.3440765142440796, 1.3696271181106567, 1.3827511072158813, 1.3806312084197998, 1.3713101148605347, 1.3856810331344604, 1.3829443454742432, 1.3660598993301392, 1.368210792541504, 1.3593980073928833, 1.3553054332733154, 1.3462508916854858, 1.3313467502593994];[-71.73751831054688, -57.48820495605469, -45.178489685058594, -37.73576354980469, -38.825958251953125, -39.783103942871094, -41.344207763671875, -42.98834991455078, -42.302860260009766, -41.390872955322266, -39.942726135253906, -38.55625915527344, -39.691123962402344, -40.898616790771484, -40.100746154785156, -40.94371032714844, -40.57856369018555, -39.543052673339844, -40.215030670166016, -41.273624420166016, -41.10006332397461]
700;[16.352001190185547, 13.65955924987793, 11.235952377319336, 10.805584907531738, 10.865228652954102, 10.943586349487305, 10.950940132141113, 10.797918319702148, 10.736516952514648, 10.58099365234375, 10.44683837890625, 10.3471040725708, 10.207618713378906, 10.15241813659668, 9.97917652130127, 9.836370468139648, 9.771495819091797, 9.895713806152344, 9.743500709533691, 9.685647964477539, 9.622218132019043];[1.3948147296905518, 1.3171539306640625, 1.2575620412826538, 1.3471741676330566, 1.3689892292022705, 1.3821094036102295, 1.3878995180130005, 1.3688756227493286, 1.4062087535858154, 1.3952828645706177, 1.3875021934509277, 1.374281883239746, 1.3721004724502563, 1.3607101440429688, 1.358991265296936, 1.3599666357040405, 1.3611843585968018, 1.3798141479492188, 1.3546258211135864, 1.3805280923843384, 1.3731647729873657];[-70.16020202636719, -47.23819351196289, -34.814231872558594, -41.053104400634766, -44.056488037109375, -46.5497932434082, -46.84503936767578, -46.06175231933594, -45.587074279785156, -44.386314392089844, -43.09122085571289, -43.744380950927734, -42.450374603271484, -42.830657958984375, -41.681800842285156, -39.40826416015625, -39.7889518737793, -40.455745697021484, -39.99991226196289, -38.541202545166016, -38.55512237548828]
750;[16.363067626953125, 13.29244613647461, 11.784126281738281, 11.403424263000488, 11.343547821044922, 11.216827392578125, 11.241482734680176, 11.052921295166016, 11.111074447631836, 10.953405380249023, 10.793211936950684, 10.687809944152832, 10.4761323928833, 10.398581504821777, 10.234363555908203, 10.125579833984375, 9.925458908081055, 9.70668888092041, 9.654167175292969, 9.511992454528809, 9.32006549835205];[1.3971993923187256, 1.309321641921997, 1.2985399961471558, 1.3727095127105713, 1.420827031135559, 1.400121808052063, 1.4296890497207642, 1.4077796936035156, 1.4063520431518555, 1.4094816446304321, 1.3923964500427246, 1.4146101474761963, 1.382445216178894, 1.409030795097351, 1.3783949613571167, 1.4007714986801147, 1.3715933561325073, 1.3857781887054443, 1.3510046005249023, 1.3788025379180908, 1.3547749519348145];[-67.83625793457031, -54.238895416259766, -46.334571838378906, -47.32756042480469, -51.47963333129883, -51.057979583740234, -51.07060623168945, -49.951210021972656, -51.39205551147461, -49.69735336303711, -48.170955657958984, -47.2381706237793, -45.4061164855957, -44.4803466796875, -43.672019958496094, -41.482975006103516, -40.8154411315918, -38.393516540527344, -38.70414733886719, -36.4022331237793, -35.988502502441406]
800;[16.35968780517578, 13.753125190734863, 11.569719314575195, 9.688325881958008, 8.785451889038086, 9.667208671569824, 10.185808181762695, 10.329611778259277, 10.151888847351074, 10.117244720458984, 10.146679878234863, 10.031935691833496, 9.86689281463623, 10.021773338317871, 9.936908721923828, 9.905353546142578, 9.780778884887695, 9.6459379196167, 9.412915229797363, 9.327727317810059, 9.129083633422852];[1.3976714611053467, 1.3232619762420654, 1.2359901666641235, 1.2156667709350586, 1.3843504190444946, 1.3702696561813354, 1.4066381454467773, 1.4003174304962158, 1.3932479619979858, 1.3869507312774658, 1.3905136585235596, 1.3943228721618652, 1.366440773010254, 1.4004002809524536, 1.3667675256729126, 1.3897583484649658, 1.3683538436889648, 1.382252812385559, 1.3496516942977905, 1.3864145278930664, 1.3222358226776123];[-71.7194595336914, -51.26384735107422, -32.37754821777344, -19.87255859375, -22.954980850219727, -32.0210075378418, -37.983036041259766, -39.44377517700195, -38.1613655090332, -39.644527435302734, -39.61982345581055, -38.37535095214844, -38.604957580566406, -40.778709411621094, -40.47080993652344, -39.69209289550781, -39.38688659667969, -37.94646453857422, -36.61537170410156, -34.95498275756836, -34.604652404785156]
850;[16.377588272094727, 13.299839973449707, 11.780257225036621, 11.099468231201172, 11.127679824829102, 11.0430326461792, 10.850489616394043, 10.73210334777832, 10.588418960571289, 10.609724998474121, 10.434928894042969, 10.22085952758789, 10.128020286560059, 10.072224617004395, 10.107124328613281, 10.030006408691406, 9.898775100708008, 9.702847480773926, 9.484317779541016, 9.353992462158203, 9.229567527770996];[1.3963427543640137, 1.3080544471740723, 1.2978779077529907, 1.346979022026062, 1.4170058965682983, 1.4232674837112427, 1.4207781553268433, 1.4078510999679565, 1.388227939605713, 1.4057223796844482, 1.4013499021530151, 1.397790789604187, 1.4100964069366455, 1.3797106742858887, 1.3647570610046387, 1.3641548156738281, 1.3592736721038818, 1.354793667793274, 1.3409782648086548, 1.3417696952819824, 1.3413269519805908];[-70.67257690429688, -52.64570236206055, -46.0437126159668, -42.70075225830078, -46.231651306152344, -46.54750442504883, -44.449546813964844, -44.15995788574219, -44.516571044921875, -45.1956672668457, -43.76499938964844, -41.62602233886719, -40.620548248291016, -40.896484375, -42.331321716308594, -41.38417053222656, -40.13871383666992, -38.521785736083984, -36.953285217285156, -36.238555908203125, -34.791812896728516]
900;[16.363178253173828, 13.34838581085205, 11.71868896484375, 11.014238357543945, 10.928380966186523, 10.932348251342773, 10.878008842468262, 10.943656921386719, 10.777344703674316, 10.778308868408203, 10.645041465759277, 10.4696683883667, 10.283405303955078, 10.111696243286133, 9.918501853942871, 9.833179473876953, 9.724200248718262, 9.654411315917969, 9.405866622924805, 9.190398216247559, 9.088800430297852];[1.3949940204620361, 1.3101038932800293, 1.271622896194458, 1.3210645914077759, 1.362000584602356, 1.3468947410583496, 1.3577972650527954, 1.389074444770813, 1.3932267427444458, 1.3776483535766602, 1.3598800897598267, 1.3519177436828613, 1.3505276441574097, 1.3440934419631958, 1.3445652723312378, 1.3477329015731812, 1.3464863300323486, 1.3705815076828003, 1.3545423746109009, 1.345413088798523, 1.3399559259414673];[-71.18006134033203, -53.1037712097168, -42.244415283203125, -44.7454719543457, -45.900638580322266, -46.47050857543945, -46.757450103759766, -47.69778823852539, -45.4616813659668, -47.332794189453125, -46.49860763549805, -44.6926155090332, -43.14692687988281, -41.07099914550781, -40.07490539550781, -40.573944091796875, -39.12443542480469, -37.63475036621094, -35.68210983276367, -34.36357498168945, -33.556941986083984]
950;[16.34657859802246, 13.876701354980469, 11.418651580810547, 9.588642120361328, 8.688155174255371, 10.045831680297852, 10.322382926940918, 10.295012474060059, 10.382185935974121, 10.500388145446777, 10.281652450561523, 10.307708740234375, 10.329719543457031, 10.252967834472656, 10.029084205627441, 9.774469375610352, 9.699668884277344, 9.412694931030273, 9.33587646484375, 9.182636260986328, 9.058577537536621];[1.3949438333511353, 1.3212264776229858, 1.2351279258728027, 1.247593641281128, 1.2156801223754883, 1.267613410949707, 1.2807300090789795, 1.2990658283233643, 1.3217003345489502, 1.3537707328796387, 1.3424561023712158, 1.3481353521347046, 1.3472158908843994, 1.3563488721847534, 1.3562527894973755, 1.337702989578247, 1.3464964628219604, 1.331414818763733, 1.3395315408706665, 1.317011833190918, 1.3216431140899658];[-69.52418518066406, -51.165367126464844, -32.51308822631836, -21.327138900756836, -26.987743377685547, -38.106300354003906, -40.6287956237793, -40.23957061767578, -42.825050354003906, -44.134979248046875, -43.3055534362793, -43.491905212402344, -44.372833251953125, -43.39622116088867, -41.32062530517578, -39.476112365722656, -38.60674285888672, -36.22842788696289, -35.78434753417969, -34.98029708862305, -33.92689895629883]
1000;[16.38182258605957, 13.42161750793457, 11.872034072875977, 11.160295486450195, 11.166118621826172, 11.183008193969727, 11.143747329711914, 10.954547882080078, 10.829730033874512, 10.814881324768066, 10.83006477355957, 10.841979026794434, 10.718972206115723, 10.567241668701172, 10.492108345031738, 10.340410232543945, 10.172082901000977, 10.000324249267578, 9.872642517089844, 9.986387252807617, 10.060070037841797];[1.3992834091186523, 1.3176064491271973, 1.2899699211120605, 1.328456997871399, 1.362699031829834, 1.377437710762024, 1.3903322219848633, 1.3788511753082275, 1.381352186203003, 1.3963654041290283, 1.375145435333252, 1.394850730895996, 1.3880834579467773, 1.382651925086975, 1.374934196472168, 1.3746812343597412, 1.3677443265914917, 1.3573395013809204, 1.355454921722412, 1.3642956018447876, 1.365816354751587];[-71.03240966796875, -54.26960372924805, -48.781436920166016, -44.87360763549805, -48.663814544677734, -51.31668472290039, -51.072391510009766, -48.930824279785156, -47.73826599121094, -48.210391998291016, -49.52273941040039, -49.318702697753906, -48.95896911621094, -46.761573791503906, -46.8525276184082, -45.810150146484375, -43.67258834838867, -43.012794494628906, -41.70394515991211, -42.9810905456543, -43.371517181396484]
