Seed;RMSE History;MMD History;Log-Likelihood History
550;[16.384872436523438, 8.276159286499023, 4.799379825592041, 4.223779201507568, 3.4092156887054443, 2.9298806190490723, 2.8764233589172363, 2.756873846054077, 2.4496681690216064, 2.1109142303466797, 2.085693597793579, 1.961930513381958, 1.9777858257293701, 1.940207839012146, 1.8662582635879517, 1.880882740020752, 1.854220986366272, 1.8221896886825562, 1.8175204992294312, 1.8154369592666626, 1.8180269002914429];[1.399965524673462, 1.3987404108047485, 1.0639863014221191, 0.907965898513794, 0.678008496761322, 0.48955199122428894, 0.46406176686286926, 0.42624351382255554, 0.2988680601119995, 0.15123729407787323, 0.14296302199363708, 0.0928122028708458, 0.1035323366522789, 0.08535110205411911, 0.05538560822606087, 0.06012040749192238, 0.05088966339826584, 0.04143780842423439, 0.03619391843676567, 0.039115481078624725, 0.03945879265666008];[-71.69013977050781, -18.411317825317383, -6.510008335113525, -5.509304046630859, -3.926760673522949, -3.193023920059204, -3.125283718109131, -3.02653431892395, -2.504215955734253, -2.014697313308716, -2.0074310302734375, -1.8530880212783813, -1.8872534036636353, -1.8467042446136475, -1.7570947408676147, -1.7821835279464722, -1.747184157371521, -1.7160673141479492, -1.7030061483383179, -1.711809515953064, -1.708063006401062]
600;[16.371875762939453, 11.53348159790039, 11.4598970413208, 11.369261741638184, 11.361847877502441, 11.37600326538086, 3.6286733150482178, 2.698605537414551, 2.7054250240325928, 2.342773199081421, 2.0147969722747803, 1.9078238010406494, 1.841893196105957, 1.8556280136108398, 1.8554763793945312, 1.8474117517471313, 1.820578932762146, 1.8143742084503174, 1.8237545490264893, 1.7973353862762451, 1.7700210809707642];[1.3977935314178467, 1.3218990564346313, 1.366155982017517, 1.3825525045394897, 1.3803988695144653, 1.385280966758728, 0.7064477801322937, 0.39895641803741455, 0.4065594971179962, 0.26057347655296326, 0.11185404658317566, 0.06699968129396439, 0.04040379449725151, 0.05023795738816261, 0.05198165774345398, 0.048388104885816574, 0.03692800551652908, 0.036916449666023254, 0.04166106879711151, 0.029770679771900177, 0.020064372569322586];[-72.76250457763672, -49.402408599853516, -49.642948150634766, -50.220340728759766, -51.733516693115234, -53.01911163330078, -5.075961112976074, -2.9712698459625244, -3.000514268875122, -2.396275520324707, -1.918929100036621, -1.7849037647247314, -1.714872121810913, -1.7452034950256348, -1.7417938709259033, -1.7357388734817505, -1.7046895027160645, -1.7093452215194702, -1.7185723781585693, -1.682966947555542, -1.65840744972229]
650;[16.365907669067383, 11.490625381469727, 11.361329078674316, 4.080015182495117, 3.0802674293518066, 2.882359027862549, 2.883005142211914, 2.8573412895202637, 2.7488903999328613, 2.741248369216919, 2.521907329559326, 2.4664535522460938, 2.444619655609131, 2.4371883869171143, 2.300804376602173, 2.2555370330810547, 2.261840343475342, 2.2366185188293457, 2.2073981761932373, 2.194153308868408, 1.9724730253219604];[1.3927809000015259, 1.3311847448349, 1.3661044836044312, 0.8365870714187622, 0.5339723825454712, 0.46265625953674316, 0.47642195224761963, 0.4691287875175476, 0.4270993173122406, 0.4253789186477661, 0.3358222544193268, 0.315891295671463, 0.3065338134765625, 0.30847933888435364, 0.24616628885269165, 0.22983163595199585, 0.2302326261997223, 0.2199026495218277, 0.20931348204612732, 0.2072698026895523, 0.10479604452848434];[-71.73751831054688, -48.098514556884766, -49.77573776245117, -5.2919511795043945, -3.3353271484375, -3.0923819541931152, -3.1978254318237305, -3.168424367904663, -3.0379838943481445, -3.030301809310913, -2.6705987453460693, -2.6046271324157715, -2.5798287391662598, -2.5800647735595703, -2.3546228408813477, -2.3017406463623047, -2.305593967437744, -2.2819766998291016, -2.25236177444458, -2.2360827922821045, -1.9070045948028564]
700;[16.352001190185547, 8.094372749328613, 4.232255935668945, 3.5393259525299072, 3.3917016983032227, 3.2365427017211914, 3.2332630157470703, 3.2078542709350586, 3.1814661026000977, 2.666563034057617, 2.6677396297454834, 2.6093432903289795, 2.594572067260742, 2.5404303073883057, 2.5326356887817383, 2.4927868843078613, 2.472687005996704, 2.533820867538452, 2.47253680229187, 2.3307406902313232, 2.292559862136841];[1.3948147296905518, 1.2602341175079346, 0.8873555660247803, 0.6971881985664368, 0.6548729538917542, 0.6029250621795654, 0.6114259362220764, 0.598330020904541, 0.5995463728904724, 0.3998819589614868, 0.3981943428516388, 0.3770769238471985, 0.37655356526374817, 0.3509896397590637, 0.3531453609466553, 0.33419886231422424, 0.32329869270324707, 0.3516194820404053, 0.3314322233200073, 0.2618342638015747, 0.25166916847229004];[-70.16020202636719, -20.636083602905273, -5.115983009338379, -4.046107769012451, -3.942654609680176, -3.780460834503174, -3.8119046688079834, -3.8265380859375, -3.819027900695801, -2.8684821128845215, -2.877685785293579, -2.8264167308807373, -2.80732798576355, -2.7326455116271973, -2.752209424972534, -2.6713738441467285, -2.652134656906128, -2.747141122817993, -2.691690683364868, -2.411590576171875, -2.386032819747925]
750;[16.363067626953125, 8.086843490600586, 4.684066295623779, 4.42547082901001, 3.58164644241333, 3.376643180847168, 3.3667681217193604, 3.2743940353393555, 2.726224422454834, 2.783889055252075, 2.3326308727264404, 2.2971580028533936, 2.252087354660034, 2.2529473304748535, 2.053744316101074, 1.9757602214813232, 1.9487844705581665, 1.914229154586792, 1.8617851734161377, 1.9166585206985474, 1.8899989128112793];[1.3971993923187256, 1.4222772121429443, 0.9990055561065674, 0.9205508232116699, 0.7198087573051453, 0.6503217220306396, 0.6504238247871399, 0.6208864450454712, 0.4161809980869293, 0.44514453411102295, 0.25022611021995544, 0.24055767059326172, 0.22002628445625305, 0.22741930186748505, 0.13654553890228271, 0.10282240062952042, 0.0941486805677414, 0.0771690234541893, 0.05433677136898041, 0.07651650905609131, 0.06988061219453812];[-67.83625793457031, -17.356992721557617, -6.349841117858887, -6.241212844848633, -4.332828044891357, -4.064153671264648, -4.136529922485352, -4.037240982055664, -2.967758893966675, -3.069899797439575, -2.3409488201141357, -2.3220701217651367, -2.2494564056396484, -2.279106855392456, -1.991593360900879, -1.890934705734253, -1.870607852935791, -1.8179415464401245, -1.755354881286621, -1.8228213787078857, -1.7992836236953735]
800;[16.35968780517578, 11.460914611816406, 11.428908348083496, 11.425419807434082, 11.387613296508789, 11.392631530761719, 3.881225347518921, 2.7953739166259766, 2.4040584564208984, 2.3945298194885254, 2.0642824172973633, 2.1013684272766113, 1.9873504638671875, 1.9474992752075195, 1.9129722118377686, 1.883204698562622, 1.8959918022155762, 1.8942770957946777, 1.8699841499328613, 1.8405896425247192, 1.8283740282058716];[1.3976714611053467, 1.367960810661316, 1.364040493965149, 1.3697974681854248, 1.3998090028762817, 1.4055174589157104, 0.7931435108184814, 0.44188523292541504, 0.27857741713523865, 0.2802984118461609, 0.1359495222568512, 0.15038934350013733, 0.10087954252958298, 0.09012660384178162, 0.07642956078052521, 0.06651423126459122, 0.07157773524522781, 0.07129106670618057, 0.06216546520590782, 0.04770796373486519, 0.04422861710190773];[-71.7194595336914, -46.82402801513672, -48.832740783691406, -51.22666549682617, -51.63349914550781, -52.90684127807617, -5.507025241851807, -3.081977128982544, -2.4295144081115723, -2.4437055587768555, -1.9773133993148804, -2.029208183288574, -1.8827815055847168, -1.855553150177002, -1.8149168491363525, -1.777274489402771, -1.7994738817214966, -1.800901174545288, -1.7711604833602905, -1.7338753938674927, -1.7226295471191406]
850;[16.377588272094727, 8.2657470703125, 8.156046867370605, 3.667825222015381, 3.4634406566619873, 2.9703056812286377, 3.0448453426361084, 2.8718645572662354, 2.745830774307251, 2.5906553268432617, 2.5521340370178223, 2.296447992324829, 2.081821918487549, 1.944379448890686, 1.876301884651184, 1.8957682847976685, 1.8720240592956543, 1.857027292251587, 1.8215012550354004, 1.8328384160995483, 1.836979627609253];[1.3963427543640137, 1.4640498161315918, 1.3928635120391846, 0.7482441663742065, 0.686673641204834, 0.5089408755302429, 0.544407844543457, 0.4771067798137665, 0.42662838101387024, 0.36728957295417786, 0.35656070709228516, 0.24398431181907654, 0.1444891095161438, 0.09267523884773254, 0.05850020423531532, 0.06882282346487045, 0.05602533370256424, 0.05064839497208595, 0.039903827011585236, 0.04498356208205223, 0.046801988035440445];[-70.67257690429688, -18.287508010864258, -21.214258193969727, -4.232062816619873, -4.043645858764648, -3.2280080318450928, -3.382352352142334, -3.1356735229492188, -2.959684133529663, -2.7396106719970703, -2.684340476989746, -2.3187308311462402, -2.0281026363372803, -1.8554205894470215, -1.7703444957733154, -1.7963004112243652, -1.7615766525268555, -1.748966097831726, -1.7143356800079346, -1.7239227294921875, -1.7373744249343872]
900;[16.363178253173828, 8.234661102294922, 8.15200424194336, 8.106985092163086, 8.12800407409668, 8.106247901916504, 3.6812522411346436, 2.900376558303833, 3.004976749420166, 2.569894790649414, 2.337026834487915, 2.4270005226135254, 2.3069467544555664, 2.2383947372436523, 2.160281181335449, 2.1261696815490723, 2.1194546222686768, 2.1422274112701416, 2.0803351402282715, 2.106882333755493, 1.9347485303878784];[1.3949940204620361, 1.436765432357788, 1.3677735328674316, 1.317824363708496, 1.3239628076553345, 1.308610200881958, 0.730816125869751, 0.4841797351837158, 0.5215489268302917, 0.3590478003025055, 0.2549428939819336, 0.2943110764026642, 0.247151181101799, 0.21487738192081451, 0.18257290124893188, 0.1719687283039093, 0.16821828484535217, 0.17760108411312103, 0.15027600526809692, 0.1642812341451645, 0.09393766522407532];[-71.18006134033203, -18.148731231689453, -21.77637481689453, -23.410568237304688, -24.757766723632812, -25.467445373535156, -5.108205795288086, -3.287656307220459, -3.509958505630493, -2.7349600791931152, -2.3547277450561523, -2.5150930881500244, -2.3288674354553223, -2.2435848712921143, -2.1314783096313477, -2.1050915718078613, -2.0820224285125732, -2.1220462322235107, -2.042689085006714, -2.081341505050659, -1.8636198043823242]
950;[16.34657859802246, 8.149398803710938, 5.196775436401367, 4.90494441986084, 3.719719886779785, 3.591844081878662, 2.9379894733428955, 2.7319142818450928, 2.684345006942749, 2.512065887451172, 2.411531686782837, 2.377016544342041, 2.485440731048584, 2.449777126312256, 2.55932354927063, 2.4633333683013916, 2.3522722721099854, 2.2915380001068115, 2.221845865249634, 2.176692008972168, 2.0946309566497803];[1.3949438333511353, 1.399137020111084, 1.1534068584442139, 1.115442156791687, 0.7611557245254517, 0.7305088043212891, 0.5023891925811768, 0.41488897800445557, 0.3999985456466675, 0.33157530426979065, 0.288019061088562, 0.27100226283073425, 0.32637491822242737, 0.31586918234825134, 0.3660171627998352, 0.32306888699531555, 0.2704262435436249, 0.24790681898593903, 0.2162376046180725, 0.19243398308753967, 0.16159562766551971];[-69.52418518066406, -18.166908264160156, -7.336053848266602, -7.117535591125488, -4.667354106903076, -4.571160793304443, -3.2671689987182617, -2.888590097427368, -2.8541719913482666, -2.608950138092041, -2.463078260421753, -2.4008474349975586, -2.6140313148498535, -2.5544533729553223, -2.734616756439209, -2.589099407196045, -2.4170212745666504, -2.341370105743408, -2.2439022064208984, -2.1740670204162598, -2.080847978591919]
1000;[16.38182258605957, 11.568735122680664, 4.215814590454102, 3.803076982498169, 3.763427972793579, 3.736821174621582, 2.9164624214172363, 2.8675153255462646, 2.305884599685669, 2.1787362098693848, 2.081435441970825, 2.0992918014526367, 2.123880386352539, 2.1389248371124268, 2.110828399658203, 2.0953125953674316, 2.133695602416992, 2.100837230682373, 1.9218201637268066, 1.9637950658798218, 1.8841874599456787];[1.3992834091186523, 1.3105261325836182, 0.8754086494445801, 0.7374789714813232, 0.7239572405815125, 0.731660008430481, 0.47791150212287903, 0.46163490414619446, 0.23509638011455536, 0.18306228518486023, 0.1448068767786026, 0.15014663338661194, 0.16578996181488037, 0.16955655813217163, 0.16280557215213776, 0.16009889543056488, 0.17216500639915466, 0.1622471809387207, 0.08118036389350891, 0.1047508642077446, 0.06817875057458878];[-71.03240966796875, -49.995819091796875, -5.276281356811523, -4.874091625213623, -4.884678840637207, -5.1289191246032715, -3.2869200706481934, -3.292954921722412, -2.3081579208374023, -2.1370134353637695, -2.012838363647461, -2.0433712005615234, -2.089076280593872, -2.1084346771240234, -2.078035593032837, -2.0705931186676025, -2.1093947887420654, -2.077765941619873, -1.835371971130371, -1.9066872596740723, -1.7943146228790283]
