Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
700;[3.4655158519744873, 3.109598398208618, 3.082388401031494, 3.079519033432007, 2.8173296451568604, 2.769912004470825];[0.4309043884277344, 0.6915251612663269, 0.751732349395752, 0.768323540687561, 0.6936269402503967, 0.7095609307289124];[-2.1853156089782715, -3.3549091815948486, -3.9366559982299805, -4.028383731842041, -3.572481155395508, -3.565826177597046];[1.8218398094177246, 0.9652324914932251, 0.609495222568512, 0.6268426179885864, 0.6899237632751465];393.4360339641571
750;[3.474484443664551, 4.119029521942139, 3.91424560546875, 3.758913516998291, 3.7883594036102295, 3.662795066833496];[0.4471079111099243, 0.8580158352851868, 0.9217731952667236, 0.9188864827156067, 0.9495186805725098, 0.9388630390167236];[-2.1904795169830322, -5.0523881912231445, -5.530932426452637, -5.682448387145996, -6.001946926116943, -5.960048675537109];[2.4176478385925293, 0.8213911056518555, 0.8618743419647217, 0.7857970595359802, 0.6930623650550842];408.16359877586365
800;[3.5488901138305664, 4.349356651306152, 4.291496276855469, 4.300649642944336, 4.122170448303223, 4.27502965927124];[0.4226207137107849, 0.9061052203178406, 0.9701343178749084, 0.9561596512794495, 1.015331745147705, 1.0595868825912476];[-2.211388349533081, -5.213057041168213, -6.483158588409424, -6.421279430389404, -7.202414512634277, -7.73727560043335];[1.7652254104614258, 0.945816695690155, 0.785872757434845, 0.810778021812439, 1.1325445175170898];416.36381697654724
850;[3.3409130573272705, 4.450434684753418, 4.473671913146973, 4.554135322570801, 4.544020652770996, 4.487154483795166];[0.43717724084854126, 0.8986369371414185, 0.9847829341888428, 1.0507545471191406, 1.1060975790023804, 1.0706329345703125];[-2.1206741333007812, -5.228108882904053, -6.6205854415893555, -7.909628868103027, -9.141831398010254, -8.84859561920166];[1.6513055562973022, 0.8927099704742432, 0.6328186988830566, 0.5122233033180237, 0.5277008414268494];394.99434304237366
900;[3.5120975971221924, 3.176694393157959, 2.9343907833099365, 2.9434492588043213, 2.6130316257476807, 2.6666791439056396];[0.43827444314956665, 0.7541171312332153, 0.7040515542030334, 0.6824160814285278, 0.6688069105148315, 0.6655534505844116];[-2.1942410469055176, -3.646350622177124, -3.4481496810913086, -3.4151358604431152, -3.3056881427764893, -3.4205596446990967];[1.9815516471862793, 0.855198860168457, 0.8659809231758118, 0.5818191766738892, 0.4634515941143036];392.8481709957123
950;[3.4888288974761963, 2.5775835514068604, 2.683171272277832, 2.622771978378296, 2.593801259994507, 2.3549108505249023];[0.4305139482021332, 0.31522083282470703, 0.3604155480861664, 0.34586119651794434, 0.3209441006183624, 0.30433201789855957];[-2.1909918785095215, -1.8815813064575195, -2.0205159187316895, -1.9919975996017456, -1.964863657951355, -1.8873294591903687];[2.067765951156616, 1.4101377725601196, 0.9701274633407593, 0.8609386682510376, 1.0338473320007324];408.93764209747314
1000;[3.4790709018707275, 2.7066547870635986, 2.4987518787384033, 2.3316071033477783, 2.2594034671783447, 2.495450735092163];[0.4421994388103485, 0.2942085862159729, 0.3092292249202728, 0.2875998616218567, 0.26895689964294434, 0.3029633164405823];[-2.195986032485962, -1.89113187789917, -1.8838127851486206, -1.8156936168670654, -1.766005039215088, -1.9862158298492432];[2.1019175052642822, 1.1154290437698364, 1.056003212928772, 0.635388195514679, 0.7466084957122803];377.8541359901428
1050;[3.4341771602630615, 2.740269422531128, 2.999203681945801, 2.7804267406463623, 2.7302863597869873, 2.8502378463745117];[0.4304201006889343, 0.36721271276474, 0.4310638904571533, 0.42578983306884766, 0.46243971586227417, 0.4594062864780426];[-2.155642032623291, -2.0336878299713135, -2.3071916103363037, -2.2266833782196045, -2.2827980518341064, -2.316967487335205];[1.9603177309036255, 1.5401561260223389, 1.5315618515014648, 1.5855824947357178, 0.9654666185379028];397.97743010520935
1100;[3.5694146156311035, 3.637528657913208, 3.6157782077789307, 3.5990052223205566, 3.587792158126831, 3.4376649856567383];[0.4306790828704834, 0.8297529816627502, 0.8855907917022705, 0.8836045861244202, 0.9042273759841919, 0.8916626572608948];[-2.2354342937469482, -4.412357330322266, -4.951781749725342, -5.090052604675293, -5.330814361572266, -5.104496479034424];[2.0109710693359375, 1.0420448780059814, 0.794348955154419, 0.7736672759056091, 0.6289239525794983];396.28167152404785
1150;[3.4858319759368896, 2.678666353225708, 2.4671425819396973, 2.4315497875213623, 2.458411455154419, 2.5541234016418457];[0.43737438321113586, 0.35647135972976685, 0.30058541893959045, 0.30516964197158813, 0.39455288648605347, 0.47635743021965027];[-2.1709494590759277, -2.0001142024993896, -1.8692790269851685, -1.848205327987671, -2.063246250152588, -2.416149854660034];[2.138690233230591, 1.4386540651321411, 1.1884037256240845, 1.0443341732025146, 0.86700040102005];401.7069716453552
