Seed;RMSE History;MMD History;Log-Likelihood History;Max EIG History;Deployment Time
4050;[3.9497878551483154, 3.142631769180298, 3.076390027999878, 2.865283727645874, 2.7467236518859863, 2.862062692642212];[0.26898321509361267, 0.16148266196250916, 0.15625067055225372, 0.1457069367170334, 0.13913379609584808, 0.15781019628047943];[-2.407095432281494, -2.223928213119507, -2.254809856414795, -2.1893486976623535, -2.1334547996520996, -2.278079032897949];[1.3979111909866333, 1.009163498878479, 0.9471148252487183, 0.9382152557373047, 0.9186276197433472];322.677401304245
4100;[3.5195577144622803, 3.175251007080078, 3.187870740890503, 3.2361018657684326, 3.6568360328674316, 3.7658722400665283];[0.32403647899627686, 0.4831834137439728, 0.592589259147644, 0.6565800309181213, 0.7822667360305786, 0.8265048861503601];[-2.3528828620910645, -3.2916903495788574, -4.14709997177124, -4.722084045410156, -5.806698322296143, -6.334325790405273];[1.4656541347503662, 0.8856328129768372, 0.8193486332893372, 0.8356947302818298, 0.7913909554481506];318.7502119541168
4100;[3.7937381267547607, 3.3296313285827637, 3.2898075580596924, 3.2934300899505615, 3.6902570724487305, 3.7806951999664307];[0.2773680090904236, 0.39058080315589905, 0.5015990734100342, 0.5744292140007019, 0.6883230209350586, 0.7340753674507141];[-2.3915657997131348, -3.006801128387451, -3.700437068939209, -4.165591239929199, -5.2039618492126465, -5.703506946563721];[1.4656541347503662, 0.8876296877861023, 0.8175455927848816, 0.8323423862457275, 0.7878926396369934];323.68951177597046
4150;[3.4983232021331787, 2.705733299255371, 2.662680149078369, 2.7770659923553467, 2.852344512939453, 3.0579872131347656];[0.31140559911727905, 0.27078911662101746, 0.30860278010368347, 0.374871164560318, 0.43801218271255493, 0.5237593054771423];[-2.2967817783355713, -2.3412578105926514, -2.5294077396392822, -2.8800225257873535, -3.1729719638824463, -3.6713244915008545];[1.4008816480636597, 0.933190643787384, 0.867010235786438, 0.8696948289871216, 0.9000740051269531];317.34472012519836
4150;[3.774582624435425, 3.0031206607818604, 2.9768567085266113, 3.1464312076568604, 3.2401058673858643, 3.5039055347442627];[0.2728494703769684, 0.21854174137115479, 0.2830798625946045, 0.36987337470054626, 0.4533470571041107, 0.5551995038986206];[-2.322913408279419, -2.323265314102173, -2.584735155105591, -3.0028910636901855, -3.3993959426879883, -4.024285793304443];[1.4008816480636597, 0.970172643661499, 0.8715528249740601, 0.8677620887756348, 0.8898009061813354];317.2284607887268
4200;[3.615165948867798, 2.8141939640045166, 2.892648935317993, 2.7911689281463623, 2.819044351577759, 2.8809754848480225];[0.325962096452713, 0.42474886775016785, 0.4578860104084015, 0.4529002606868744, 0.5210212469100952, 0.5556908845901489];[-2.3615612983703613, -3.060823440551758, -3.2905473709106445, -3.31715989112854, -3.7307467460632324, -4.0488505363464355];[1.4416403770446777, 0.8664960861206055, 0.8324430584907532, 0.7925220131874084, 0.8007582426071167];314.73557901382446
4200;[3.92155122756958, 2.916275978088379, 3.011014461517334, 2.872863292694092, 2.805281639099121, 2.8913307189941406];[0.2764778435230255, 0.3247772455215454, 0.33135661482810974, 0.3096952438354492, 0.3684203326702118, 0.4064863920211792];[-2.4054925441741943, -2.612253427505493, -2.923936128616333, -2.8959386348724365, -3.1136960983276367, -3.318460702896118];[1.4416403770446777, 0.9015225768089294, 0.8295349478721619, 0.7998979687690735, 0.8186260461807251];324.9672522544861
4250;[3.504371166229248, 2.7272050380706787, 2.5666310787200928, 2.4853925704956055, 2.359395742416382, 2.5363731384277344];[0.3298569917678833, 0.2584574222564697, 0.2946479618549347, 0.3039741814136505, 0.2935914099216461, 0.36016181111335754];[-2.330456495285034, -2.3055813312530518, -2.530916929244995, -2.6718525886535645, -2.6570329666137695, -2.9624500274658203];[1.4138010740280151, 0.939175009727478, 0.8298185467720032, 0.7974479794502258, 0.7900878190994263];322.3554904460907
4250;[3.752617597579956, 3.0368850231170654, 2.828705072402954, 2.7619380950927734, 2.6149203777313232, 2.781956434249878];[0.29473990201950073, 0.16699732840061188, 0.19853505492210388, 0.21120889484882355, 0.20450539886951447, 0.25790315866470337];[-2.33502197265625, -2.2191150188446045, -2.383606433868408, -2.5266873836517334, -2.4625296592712402, -2.680521011352539];[1.4138010740280151, 0.9713796973228455, 0.8574573397636414, 0.8216057419776917, 0.8110319375991821];320.1022984981537
4300;[3.504781484603882, 2.748122453689575, 2.6400251388549805, 2.6979281902313232, 2.7993276119232178, 2.694998264312744];[0.32207801938056946, 0.2917484939098358, 0.33615097403526306, 0.36865705251693726, 0.42262503504753113, 0.430816113948822];[-2.332275867462158, -2.45292329788208, -2.750709295272827, -2.9379096031188965, -3.263366460800171, -3.344527006149292];[1.4293386936187744, 0.8916944265365601, 0.8828070163726807, 0.8226320147514343, 0.8176027536392212];324.70393681526184
